reference_title,title,season,episode,text,start_time,end_time
Game of Thrones,The Big Bang Theory,S9,E21,Are you up-to-dateon <i>Game of Thrones?</i>,"0:5:22,569","0:5:25,2"
Game of Thrones,The Big Bang Theory,S9,E21,a real-life<i>Game of Thrones.</i>,"0:15:31,179","0:15:33,280"
Game of Thrones,Scream Queens,S1,E1,<i>but it's actually Game of Thrones</i>,"0:11:45,318","0:11:47,385"
Game of Thrones,Family Guy,S15,E6,"<i>Game of Thrones</i> is on, just a reminder.","0:7:31,52","0:7:33,454"
Game of Thrones,American Horror Story,S7,E7,The Iron Throne from<i> Game of Thrones.</i>,"0:39:59,92","0:40:1,724"
Game of Thrones,Legacies,S1,E2,"What are you reading,Game of Thrones?","0:27:55,7","0:27:56,508"
Game of Thrones,The Big Bang Theory,S8,E15,We still watchGame of Thrones.,"0:11:56,394","0:11:57,913"
Game of Thrones,Legacies,S3,E1,"Okay, <i>Game of Thrones.</i> We get it.","0:17:9,747","0:17:11,921"
Game of Thrones,Supernatural,S10,E22,I don't meanon Game of Thrones.,"0:1:34,478","0:1:37,180"
Game of Thrones,The Big Bang Theory,S9,E5,it's gonna be like<i>Game of Thrones.</i>,"0:4:30,362","0:4:32,194"
Game of Thrones,Supernatural,S11,E22,Game of thrones.It's musical chairs.,"0:20:58,262","0:21:3,500"
Game of Thrones,American Dad!,S10,E1,It was either thisor <i> Game of Thrones.</i>,"0:52:58,545","0:53:0,244"
Game of Thrones,NCIS,S15,E8,I got to pause <i>Game of Thrones</i>,"0:3:22,771","0:3:24,403"
Game of Thrones,Family Guy,S12,E17,How about<i>game of thrones?</i>,"0:15:44,577","0:15:46,244"
Game of Thrones,Modern Family,S8,E14,I don't love Game of Thrones.,"0:7:45,31","0:7:46,375"
Game of Thrones,Family Guy,S16,E9,"You died before Game of Thrones,","0:10:33,381","0:10:35,150"
Game of Thrones,House,S3,E7,I want a Game of Thrones theme.,"0:6:57,788","0:6:59,524"
Game of Thrones,Family Guy,S16,E15,It's from<i> Game of Thrones</i>when Stannis's daughter,"0:11:27,268","0:11:29,368"
Game of Thrones,Supernatural,S11,E6,"Uh, you know, The Wire,Game of Thrones.","0:5:17,43","0:5:19,444"
Game of Thrones,MacGyver,S3,E9,Jack Dalton read Game of Thrones?,"0:14:45,297","0:14:47,686"
Game of Thrones,Family Guy,S11,E22,<i>We now return toGame of Thrones on BET.</i>,"0:13:42,421","0:13:45,561"
Game of Thrones,Castle,S4,E2,"Man, a sword.That is so Game of Thrones.","0:2:58,92","0:3:0,458"
Game of Thrones,NCIS,S15,E4,for their <i>Game of Thrones</i>theme night.,"0:5:26,906","0:5:28,639"
Game of Thrones,The Big Bang Theory,S10,E23,And if you see any actorsfrom <i>Game of Thrones</i>,"0:17:58,390","0:18:0,209"
Game of Thrones,Legacies,S4,E7,"- What?- It's <i>Game of Thrones time, bro.</i>","0:11:13,798","0:11:15,500"
Game of Thrones,Suits,S5,E8,How dare you defile<i>Game of Thrones</i>,"0:32:42,800","0:32:43,983"
Game of Thrones,Grey's Anatomy,S18,E13,we're not weirdGame of Thrones siblings.,"0:25:23,909","0:25:26,99"
Game of Thrones,House,S3,E7,- [remote beeps]- Watch Game of Thrones.,"0:9:24,211","0:9:25,980"
Game of Thrones,House,S3,E7,"You play the game ofthrones, you win or you die.","0:20:54,212","0:20:58,718"
Game of Thrones,Rick and Morty,S4,E8,Game of Thrones feverright at the peak.,"0:5:28,954","0:5:30,473"
Game of Thrones,Bob's Burgers,S3,E5,"Groundhog Day, season premiereof <i>Game of Thrones...</i>","0:2:59,78","0:3:1,79"
Game of Thrones,Bob's Burgers,S5,E13,"Louise, you haven't watched<i>Game of Thrones,</i> right?","0:19:27,798","0:19:30,300"
Game of Thrones,The Big Bang Theory,S9,E21,"Well, we're only watching<i>Game of Thrones.</i>","0:2:8,776","0:2:11,911"
Game of Thrones,MacGyver,S3,E9,"I mean, not like it's thenext Game of Thrones book.","0:14:43,15","0:14:45,293"
Game of Thrones,The Big Bang Theory,S8,E19,when the Mountain fought theRed Viper in <i>Game of Thrones.</i>,"0:8:23,322","0:8:25,689"
Game of Thrones,The Big Bang Theory,S8,E19,by a <i>Game of Thrones </i>inspireddeath-match on the battlefield,"0:8:35,698","0:8:38,231"
Game of Thrones,Chicago Fire,S2,E22,unless you want a Gameof Thrones red wedding.,"0:15:34,265","0:15:37,668"
Game of Thrones,Supernatural,S15,E2,"So, how about the Gameof Thrones ending?","0:14:9,201","0:14:12,436"
Game of Thrones,Modern Family,S8,E14,I've never even seen Game of Thrones.,"0:7:46,401","0:7:47,731"
Game of Thrones,Family Guy,S14,E1,"Uh,<i> Game of Thrones?</i>Black shirts? Dandruff?","0:15:17,192","0:15:19,726"
Game of Thrones,Family Guy,S13,E10,"That's right, Your Honor. And as weknow, according to<i> Game of Thrones,</i>","0:10:28,449","0:10:31,750"
Game of Thrones,The Big Bang Theory,S7,E20,Maybe. But how greatis Game of Thrones?,"0:1:50,880","0:1:54,521"
Game of Thrones,The Simpsons,S29,E4,you'll watch Game ofThrones to calm down.,"0:12:50,235","0:12:53,70"
Game of Thrones,House,S3,E7,How can you plan a Gameof Thrones themed party,"0:9:19,707","0:9:22,571"
Game of Thrones,Grey's Anatomy,S18,E4,"They were bickeringabout Game of Thrones,","0:37:41,215","0:37:43,260"
Game of Thrones,Scream Queens,S2,E7,who got his head smushedin on<i> Game of Thrones.</i>,"0:6:46,221","0:6:47,687"
Game of Thrones,The Big Bang Theory,S9,E21,They don't wear bicycle helmetsin <i>Game of Thrones.</i>,"0:16:43,816","0:16:46,417"
Game of Thrones,Family Guy,S15,E11,<i>because my producer is telling</i><i>me on</i> Game of Thrones,"0:1:8,870","0:1:11,308"
Game of Thrones,House,S2,E7,and people could devour themGame of Thrones style?,"0:0:15,439","0:0:17,341"
Game of Thrones,Suits,S7,E9,take Game of Thronesoff my to-do list,"0:2:28,716","0:2:30,215"
Game of Thrones,The Big Bang Theory,S6,E15,One <i>Game of Thrones</i> collector'sedition Longclaw sword.,"0:8:57,61","0:9:1,314"
Game of Thrones,Suits,S4,E14,"Rachel, if you think I'm gonnalet you watch<i> game of thrones</i>","0:1:38,365","0:1:41,133"
Game of Thrones,Family Guy,S12,E21,She got plowed on a pileof hay in<i> game of thrones.</i>,"0:1:18,446","0:1:22,247"
Game of Thrones,The Office,S9,E3,in the superb Home Box Officeseries <i>Game of Thrones.</i>,"0:3:0,776","0:3:4,278"
Game of Thrones,Bob's Burgers,S4,E22,âª And now I'll never knowwho wins<i> Game of Thrones</i> âª,"0:13:11,238","0:13:15,673"
Game of Thrones,The Big Bang Theory,S9,E21,"Come on, Sheldon, we'll watch<i>Game of Thrones</i> over here.","0:9:24,411","0:9:26,345"
Game of Thrones,Supernatural,S13,E8,and then we'll all be home intime to watch Game of Thrones.,"0:28:3,0","0:28:5,634"
Game of Thrones,The Flash,S7,E6,"Oh, God, please tell me youremember Game of Thrones.","0:17:3,596","0:17:7,515"
Game of Thrones,Supernatural,S9,E4,"so I, uh, picked you upseason one Game of Thrones.","0:5:9,396","0:5:14,349"
Game of Thrones,The Big Bang Theory,S8,E4,"Yes, I am. You know, I can'teven watch<i> Game of Thrones</i> now","0:4:31,561","0:4:35,63"
Game of Thrones,Family Guy,S15,E10,who told me to stop watchingGame of Thrones on my laptop,"0:10:2,865","0:10:5,365"
Game of Thrones,Modern Family,S8,E14,"Me... I told Rainer I love hisfavorite show, Game of Thrones,","0:7:39,983","0:7:42,928"
Game of Thrones,Modern Family,S7,E8,Me likey sushi.Me likey Game of Thrones.Me likey Chardonnay.,"0:11:34,775","0:11:38,611"
Young Sheldon,The Simpsons,S30,E11,And don't get me startedon Young Sheldon.,"0:19:1,626","0:19:4,897"
Young Sheldon,The Simpsons,S30,E7,"<i>but like</i> Young Sheldon,<i>it would not last forever.</i>","0:14:6,990","0:14:9,874"
The Simpsons,The Office,S4,E1,Simpsons!,"0:33:46,658","0:33:47,704"
The Simpsons,Bones,S9,E15,"<i>The Simpsons,</i>","0:38:29,249","0:38:31,550"
The Simpsons,South Park,S6,E7,<i>Simpsons did it. Simpsons did it.</i>,"0:11:55,230","0:11:57,425"
The Simpsons,South Park,S6,E7,<i>Simpsons did it! Simpsons did it!</i>,"0:17:1,830","0:17:4,264"
The Simpsons,The Big Bang Theory,S9,E21,You love <i>The Simpsons.</i>,"0:8:12,406","0:8:14,172"
The Simpsons,The Office,S3,E6,"Apu, from The Simpsons.","0:4:53,504","0:4:55,0"
The Simpsons,South Park,S6,E7,<i>Stupid Simpsons.</i>,"0:7:35,520","0:7:37,272"
The Simpsons,South Park,S6,E7,<i>Simpsons did it.</i>,"0:10:7,310","0:10:8,299"
The Simpsons,South Park,S6,E7,<i>Simpsons did it.</i>,"0:10:12,790","0:10:13,984"
The Simpsons,South Park,S6,E7,<i>Simpsons did it.</i>,"0:12:12,270","0:12:13,703"
The Simpsons,South Park,S6,E7,<i>Tonight on The Simpsons...</i>,"0:15:27,950","0:15:29,542"
The Simpsons,South Park,S6,E7,<i>Uh-oh! Simpsons did it! Simpsons did it!</i>,"0:15:40,310","0:15:42,744"
The Simpsons,South Park,S6,E7,<i>- No! No!- Simpsons did it! Simpsons did it!</i>,"0:15:42,830","0:15:46,789"
The Simpsons,Stargate SG-1,S8,E15,"<i>You have a thingfor The Simpsons, fishing...</i>","0:35:43,387","0:35:46,516"
The Simpsons,The Big Bang Theory,S10,E9,I've been on <i>The Simpsons.</i>,"0:17:21,753","0:17:23,720"
The Simpsons,South Park,S6,E7,<i>The Simpsons already did it?</i>,"0:3:31,880","0:3:33,393"
The Simpsons,South Park,S6,E7,<i>They did that on The Simpsons!</i>,"0:19:57,470","0:19:59,665"
The Simpsons,Rick and Morty,S3,E8,"It's not a SimpsonsHalloween special,","0:4:20,26","0:4:22,160"
The Simpsons,The Boat,S2,E11,And no moreSimpsons impressions.,"0:0:8,73","0:0:9,801"
The Simpsons,Law & Order: Special Victims Unit,S5,E21,Positive.The Simpsons just ended.,"0:29:20,625","0:29:22,786"
The Simpsons,Young Sheldon,S4,E11,for parentswho hate The Simpsons.,"0:12:31,359","0:12:33,56"
The Simpsons,South Park,S6,E7,<i>- Huh?- They did that on The Simpsons.</i>,"0:3:13,720","0:3:15,517"
The Simpsons,South Park,S6,E7,<i>Not if they already did iton The Simpsons.</i>,"0:3:25,520","0:3:27,158"
The Simpsons,South Park,S6,E7,<i>The Simpsons is such a great show</i>,"0:7:17,600","0:7:19,192"
The Simpsons,South Park,S6,E7,<i>- even before The Simpsons.- Yeah.</i>,"0:20:20,710","0:20:22,666"
The Simpsons,Stargate SG-1,S6,E4,"- What is it, O'Neill?- I forgot to tape The Simpsons.","0:5:26,747","0:5:30,502"
The Simpsons,The Big Bang Theory,S8,E12,No. There's also Apufrom<i> The Simpsons.</i>,"0:11:54,465","0:11:57,880"
The Simpsons,The Big Bang Theory,S2,E4,It can't be racist.He's a beloved character on The Simpsons.,"0:14:2,91","0:14:6,427"
The Simpsons,South Park,S6,E7,"<i>Cool, it'll be just like on The Simpsons.</i>","0:3:9,720","0:3:12,234"
The Simpsons,South Park,S6,E7,"<i>You've never seen thison The Simpsons, right?</i>","0:15:16,750","0:15:18,980"
The Simpsons,Law & Order,S20,E7,"There were the lorna simpsons,two basquiat,","0:7:41,626","0:7:45,197"
The Simpsons,Young Sheldon,S5,E16,<i>But she also said thatabout The Simpsons.</i>,"0:17:6,771","0:17:8,619"
The Simpsons,This Is Us,S3,E12,The Simpsons say itbetter than I ever could.,"0:12:23,845","0:12:25,586"
The Simpsons,South Park,S6,E7,<i>Simpsons did it.They did it Episode 204.</i>,"0:9:58,870","0:10:1,703"
The Simpsons,South Park,S6,E7,<i>Why didn't you tell meThe Simpsons already did that?</i>,"0:7:30,600","0:7:33,34"
The Simpsons,South Park,S6,E7,<i>I've watched all 132 episodesof The Simpsons. Twice.</i>,"0:14:52,310","0:14:55,222"
The Simpsons,South Park,S6,E7,"<i>No, I think The Simpsonswould be more clever than that.</i>","0:15:19,70","0:15:21,345"
The Simpsons,South Park,S6,E7,"<i>was really just doing an homage toThe Simpsons, and I think it's great.</i>","0:7:11,640","0:7:14,552"
The Simpsons,South Park,S6,E7,"<i>they'd rather leave it off, and bereminded of The Simpsons every day.</i>","0:7:27,520","0:7:30,512"
The Simpsons,South Park,S6,E7,"<i>Dude, The Simpsons has doneeverything already, who cares?</i>","0:20:14,350","0:20:16,341"
The Simpsons,South Park,S6,E7,<i>So I shouldn't care if I come up with anidea and The Simpsons already did it.</i>,"0:20:27,430","0:20:30,740"
Two and a Half Men,The Simpsons,S17,E15,Two and a half men.,"0:3:33,192","0:3:35,409"
Two and a Half Men,The Simpsons,S19,E8,and got Two and a half men in,"0:3:38,616","0:3:40,543"
Two and a Half Men,CSI: Crime Scene Investigation,S8,E16,<i>Anybody have a contactat Two And A Half Men?</i>,"0:28:9,390","0:28:11,280"
Two and a Half Men,Family Guy,S7,E7,And I'm gonna turn on Two and a half men,"0:1:43,630","0:1:45,450"
Two and a Half Men,Family Guy,S4,E1,<i>And now back to Two and a Half Men.</i>,"0:6:44,570","0:6:47,61"
Two and a Half Men,Castle,S4,E2,Except for last night'sepisode of Two Half-Men.,"0:18:31,412","0:18:33,952"
Two and a Half Men,American Dad!,S4,E14,"<i>Francine, you know I only laughat Two and a Half Men. [Laughs]</i>","0:3:19,532","0:3:24,26"
Two and a Half Men,Family Guy,S7,E7,Two and a half men was filmed in front of a live ostrich.,"0:1:55,110","0:1:58,480"
Two and a Half Men,South Park,S14,E8,I'm getting all the blood to my headand watching <i>Two and a Half Men</i>.,"0:4:38,704","0:4:41,623"
iCarly,The Office,S7,E11,<i>iCarly...</i>,"0:4:45,271","0:4:47,538"
iCarly,The Office,S7,E12,<i>iCarly...</i>,"0:4:45,271","0:4:47,538"
iCarly,House,S8,E15,Hop on one foot and singthe iCarly theme song.,"0:24:51,757","0:24:55,830"
Black Mirror,The Big Bang Theory,S12,E13,- <i>Black Mirror?</i>- No.,"0:9:2,657","0:9:4,123"
Black Mirror,Chicago Fire,S6,E8,Aw. Black Mirror?,"0:16:12,200","0:16:14,269"
Black Mirror,Family Guy,S18,E17,in some kind of<i> Black Mirror</i>techno nightmare by now.,"0:14:53,559","0:14:56,711"
Black Mirror,The Simpsons,S32,E4,"Now, let me lookat my black mirror.","0:18:44,457","0:18:46,268"
Outlander,The Good Doctor,S3,E13,She loves Outlander.,"0:15:22,455","0:15:24,289"
Outlander,This Is Us,S5,E3,I am obsessed with the show Outlander.,"0:40:41,126","0:40:45,262"
Outlander,Riverdale,S1,E1,"- Hi, Teen Outlander.- Hey.","0:26:48,826","0:26:51,234"
Outlander,The Good Doctor,S3,E13,"We binge-watchedsix episodes of Outlander,","0:19:21,923","0:19:25,692"
American Dad!,Family Guy,S20,E9,<i>American Dad's</i> been picked upfor three more seasons?,"0:8:30,375","0:8:33,432"
Futurama,The Simpsons,S15,E17,"wow, the creatorof futurama!","0:17:8,900","0:17:11,400"
Futurama,Rick and Morty,S4,E8,"yes, Morty,I saw it on Futurama.","0:6:18,43","0:6:19,713"
Futurama,The Simpsons,S19,E11,"a struggling Matt Groeningcreated Futurama,","0:2:2,408","0:2:5,361"
Dragon Ball Z,The Flash,S3,E21,You loved... <i> loved...</i>Dragon Ball Z.,"0:19:3,76","0:19:5,710"
Dragon Ball Z,Running Man,S1,E236,Super Saiyan?('Dragon Ball Z' reference.),"0:36:11,450","0:36:14,670"
Modern Family,The Originals,S4,E7,and the last of the modern family,"0:34:24,503","0:34:26,471"
Modern Family,American Dad!,S17,E7,"<i>From modern family perfectly,</i>","0:6:59,762","0:7:1,747"
Modern Family,Family Guy,S12,E13,"If Modern Family did that joke,","0:10:28,440","0:10:29,771"
Modern Family,The Simpsons,S30,E11,âª Now he's on Modern Family âª,"0:1:14,24","0:1:17,394"
Modern Family,Family Guy,S13,E1,and<i> Modern Family</i>crossover episode.,"0:0:36,504","0:0:39,571"
Modern Family,Scream Queens,S2,E10,<i>Modern Family impacted him deeply.</i>,"0:17:57,113","0:18:0,147"
Modern Family,Shameless,S7,E5,"I mean, I'll be the faceof the modern family.","0:21:52,461","0:21:54,565"
Modern Family,Family Guy,S14,E11,with the funny-dumb kidfrom<i> Modern Family.</i>,"0:12:10,225","0:12:12,24"
Modern Family,Family Guy,S16,E1,"like Modern Family, Girlsand Transparent.","0:1:27,436","0:1:29,972"
Modern Family,9-1-1,S1,E8,"and try to play happy, modern family.","0:18:23,840","0:18:25,691"
Modern Family,Top Gear,S1,E3,"And when we come back, Modern Family'sTy Burrell will be with us.","0:21:58,563","0:22:2,341"
Modern Family,Top Gear,S1,E3,"- Modern Family's won an Emmy, right?- Yeah.","0:22:37,175","0:22:39,19"
Modern Family,Top Gear,S1,E3,Our guest tonight stars inthe hit show Modern Family.,"0:22:6,499","0:22:9,909"
Modern Family,The Simpsons,S11,E22,Viewers couldn't get enough of the show'sfractured take on the modern family.,"0:5:58,391","0:6:2,452"
Better Call Saul,The Walking Dead,S9,E1,<i>Better Call Saul.</i>,"0:0:9,76","0:0:10,409"
Better Call Saul,The Walking Dead,S8,E6,<i>And better call Saul.</i>,"0:0:11,679","0:0:13,544"
Better Call Saul,Law & Order: Special Victims Unit,S16,E17,- You better call Saul.- Ugh!,"0:14:13,865","0:14:15,665"
Criminal Minds,The Boys,S2,E1,Episode of Criminal Minds:Beyond Borders.,"0:47:21,338","0:47:23,173"
MacGyver,The Simpsons,S17,E17,Not for Macgyver.,"0:8:59,327","0:9:0,496"
MacGyver,The Simpsons,S17,E17,Macgyver,"0:14:56,925","0:14:57,560"
MacGyver,The Simpsons,S3,E21,MacGyver...,"0:18:32,32","0:18:33,158"
MacGyver,The Simpsons,S3,E21,MacGyver...,"0:18:33,233","0:18:34,393"
MacGyver,The Simpsons,S3,E21,MacGyver...,"0:18:34,468","0:18:35,332"
MacGyver,Young Sheldon,S4,E2,"Well, it's MacGyver.","0:16:55,571","0:16:57,4"
MacGyver,The Simpsons,S17,E17,Macgyver convention.,"0:5:9,489","0:5:11,113"
